contract_id,task_id,task_status,workspace_id,stringified_array,empty_dependencies,defective
TC-T-1787322794986-c6229cec,T-1787322794986-c6229cec,review,1,True,True,True
TC-T-1787322795054-ca2e2694,T-1787322795054-ca2e2694,review,1,True,True,True
TC-T-1787322795108-cd691968,T-1787322795108-cd691968,review,1,True,True,True
TC-T-1787322795173-d141864c,T-1787322795173-d141864c,review,1,True,True,True
TC-T-1787322795245-d58f1cf0,T-1787322795245-d58f1cf0,review,1,True,True,True
TC-T-1787322795307-d949b968,T-1787322795307-d949b968,review,1,True,True,True
TC-T-1787322795374-dd442bac,T-1787322795374-dd442bac,review,1,True,True,True
TC-T-1787322795431-e0a47a2c,T-1787322795431-e0a47a2c,review,1,True,True,True
TC-T-1787322795483-e3c04150,T-1787322795483-e3c04150,review,1,True,True,True
TC-T-1787322795588-e9fdfecc,T-1787322795588-e9fdfecc,review,1,True,True,True
TC-T-1787322795664-ee8f9090,T-1787322795664-ee8f9090,review,1,True,True,True
TC-T-1787322795725-f22932d8,T-1787322795725-f22932d8,review,1,True,True,True
TC-T-1787322795775-f52e96bc,T-1787322795775-f52e96bc,review,1,True,True,True
TC-T-1787322795829-f85a6d98,T-1787322795829-f85a6d98,review,1,True,True,True
TC-T-1787322795894-fc39c6c0,T-1787322795894-fc39c6c0,review,1,True,True,True
TC-T-1787322795956-fff62664,T-1787322795956-fff62664,review,1,True,True,True
TC-T-1787322796027-04260ab0,T-1787322796027-04260ab0,review,1,True,True,True
TC-T-1787322796090-07e97aec,T-1787322796090-07e97aec,review,1,True,True,True
TC-T-1787322796155-0bc98e68,T-1787322796155-0bc98e68,review,1,True,True,True
TC-T-1787322796219-0f9d3760,T-1787322796219-0f9d3760,review,1,True,True,True
TC-T-1787322796275-12f3c370,T-1787322796275-12f3c370,review,1,True,True,True
TC-T-1787322796365-1852e1e8,T-1787322796365-1852e1e8,review,1,True,True,True
TC-T-1787322796421-1ba86fac,T-1787322796421-1ba86fac,review,1,True,True,True
TC-T-1787322796483-1f5d4730,T-1787322796483-1f5d4730,review,1,True,True,True
TC-T-1787322796578-2508cfc4,T-1787322796578-2508cfc4,review,1,True,True,True
TC-T-1787322796634-285466c0,T-1787322796634-285466c0,review,1,True,True,True
TC-T-1787322796701-2c5e2698,T-1787322796701-2c5e2698,review,1,True,True,True
TC-T-1787322796764-3014c724,T-1787322796764-3014c724,review,1,True,True,True
TC-T-1787322796833-3431cb68,T-1787322796833-3431cb68,review,1,True,True,True
TC-T-1787322796916-3926ce34,T-1787322796916-3926ce34,review,1,True,True,True
TC-T-1787322796984-3d3e2df0,T-1787322796984-3d3e2df0,review,1,True,True,True
TC-T-1787322797056-4189cf68,T-1787322797056-4189cf68,review,1,True,True,True
TC-T-1787322797118-45326058,T-1787322797118-45326058,review,1,True,True,True
TC-T-1787322797185-49338448,T-1787322797185-49338448,review,1,True,True,True
TC-T-1787322797263-4dd9dd94,T-1787322797263-4dd9dd94,review,1,True,True,True
TC-T-1787322797327-51aada2c,T-1787322797327-51aada2c,review,1,True,True,True
TC-T-1787322797385-5518ba1c,T-1787322797385-5518ba1c,review,1,True,True,True
TC-T-1787322797455-594a8390,T-1787322797455-594a8390,review,1,True,True,True
TC-T-1787322797511-5c99e860,T-1787322797511-5c99e860,review,1,True,True,True
TC-T-1787322797571-6031e2d4,T-1787322797571-6031e2d4,review,1,True,True,True
TC-T-1787322797641-645edd08,T-1787322797641-645edd08,review,1,True,True,True
TC-T-1787322797727-697cd6f0,T-1787322797727-697cd6f0,review,1,True,True,True
TC-T-1787322797796-6da4f0b4,T-1787322797796-6da4f0b4,review,1,True,True,True
TC-T-1787322797861-717ae658,T-1787322797861-717ae658,review,1,True,True,True
TC-T-1787322797930-7595285c,T-1787322797930-7595285c,review,1,True,True,True
TC-T-1787322797980-7895fb80,T-1787322797980-7895fb80,review,1,True,True,True
TC-T-1787322798105-800faaa0,T-1787322798105-800faaa0,review,1,True,True,True
TC-T-1787322798172-840ee260,T-1787322798172-840ee260,review,1,True,True,True
TC-T-1787322798237-87e3fc18,T-1787322798237-87e3fc18,review,1,True,True,True
TC-T-1787322798303-8bd1779c,T-1787322798303-8bd1779c,review,1,True,True,True
TC-T-1787322798366-8f9cbfa8,T-1787322798366-8f9cbfa8,review,1,True,True,True
TC-T-1787322798433-939358c4,T-1787322798433-939358c4,review,1,True,True,True
TC-T-1787322798497-9762fae0,T-1787322798497-9762fae0,review,1,True,True,True
TC-T-1787322798591-9d0507b8,T-1787322798591-9d0507b8,review,1,True,True,True
TC-T-1787322798663-a14caa24,T-1787322798663-a14caa24,review,1,True,True,True
TC-T-1787322798722-a4d2c340,T-1787322798722-a4d2c340,review,1,True,True,True
TC-T-1787322798801-a98790f0,T-1787322798801-a98790f0,review,1,True,True,True
TC-T-1787322798858-ace77210,T-1787322798858-ace77210,review,1,True,True,True
TC-T-1787322798916-b06209dc,T-1787322798916-b06209dc,review,1,True,True,True
TC-T-1787322798971-b3a9f30c,T-1787322798971-b3a9f30c,review,1,True,True,True
TC-T-1787322799021-b69c2990,T-1787322799021-b69c2990,review,1,True,True,True
TC-T-1787322799077-b9fe69b8,T-1787322799077-b9fe69b8,review,1,True,True,True
TC-T-1787322799131-bd2db3c8,T-1787322799131-bd2db3c8,review,1,True,True,True
TC-T-1787322799188-c09db9b8,T-1787322799188-c09db9b8,review,1,True,True,True
TC-T-1787322799244-c3f2f9c0,T-1787322799244-c3f2f9c0,review,1,True,True,True
TC-T-1787322799302-c75c1d94,T-1787322799302-c75c1d94,review,1,True,True,True
TC-T-1787322799364-cb120c64,T-1787322799364-cb120c64,review,1,True,True,True
TC-T-1787322799418-ce4698f0,T-1787322799418-ce4698f0,in_progress,1,True,True,True
TC-T-1787322799482-d215a638,T-1787322799482-d215a638,review,1,True,True,True
TC-T-1787322799532-d51d9d18,T-1787322799532-d51d9d18,review,1,True,True,True
TC-T-1787322799580-d7f9eeec,T-1787322799580-d7f9eeec,review,1,True,True,True
TC-T-1787322799648-dc001930,T-1787322799648-dc001930,in_progress,1,True,True,True
TC-T-1787322799711-dfc17ba4,T-1787322799711-dfc17ba4,open,1,True,True,True
TC-T-1787322799770-e34ac71c,T-1787322799770-e34ac71c,open,1,True,True,True
TC-T-1787322799850-e804f55c,T-1787322799850-e804f55c,open,1,True,True,True
TC-T-1787322799910-eb9a737c,T-1787322799910-eb9a737c,open,1,True,True,True
TC-T-1787322799980-efcb2090,T-1787322799980-efcb2090,open,1,True,True,True
TC-T-1787322800040-f35e9b74,T-1787322800040-f35e9b74,review,1,True,True,True
TC-T-1787322800112-f7a9dc0c,T-1787322800112-f7a9dc0c,review,1,True,True,True
TC-T-1787322800171-fb277560,T-1787322800171-fb277560,review,1,True,True,True
TC-T-1787322800239-ff34cf18,T-1787322800239-ff34cf18,review,1,True,True,True
TC-T-1787322800298-02bb7c40,T-1787322800298-02bb7c40,review,1,True,True,True
TC-T-1787322800362-068ff314,T-1787322800362-068ff314,review,1,True,True,True
TC-T-1787322800435-0aebf778,T-1787322800435-0aebf778,review,1,True,True,True
TC-T-1787322800492-0e4a5838,T-1787322800492-0e4a5838,review,1,True,True,True
TC-T-1787322971676-e9aae4d4,T-1787322971676-e9aae4d4,review,1,True,True,True
TC-T-1787323460311-ae9d7d30,T-1787323460311-ae9d7d30,open,1,True,True,True
TC-T-1787323460404-b425b074,T-1787323460404-b425b074,open,1,True,True,True
TC-T-1787323460500-b9e232bc,T-1787323460500-b9e232bc,open,1,True,True,True
TC-T-1787323460580-bea19180,T-1787323460580-bea19180,open,1,True,True,True
TC-T-1787323460652-c2eaada8,T-1787323460652-c2eaada8,open,1,True,True,True
TC-T-1787323460703-c5f65380,T-1787323460703-c5f65380,open,1,True,True,True
TC-T-1787323461012-d8597160,T-1787323461012-d8597160,open,1,True,True,True
TC-T-1787323461079-dc5ac87c,T-1787323461079-dc5ac87c,open,1,True,True,True
TC-T-1787323461150-e09e1a9c,T-1787323461150-e09e1a9c,open,1,True,True,True
TC-T-1787323461213-e46199b0,T-1787323461213-e46199b0,open,1,True,True,True
TC-T-1787323461285-e8a7a12c,T-1787323461285-e8a7a12c,open,1,True,True,True
TC-T-1787323461346-ec4e03e8,T-1787323461346-ec4e03e8,open,1,True,True,True
TC-T-1787323461404-efba3d30,T-1787323461404-efba3d30,open,1,True,True,True
TC-T-1787323461464-f351e600,T-1787323461464-f351e600,open,1,True,True,True
TC-T-1787323461541-f7e6ec24,T-1787323461541-f7e6ec24,open,1,True,True,True
TC-T-1787323461623-fcc66abc,T-1787323461623-fcc66abc,open,1,True,True,True
TC-T-1787323461683-0059e5a0,T-1787323461683-0059e5a0,open,1,True,True,True
TC-T-1787323461742-03e6a000,T-1787323461742-03e6a000,open,1,True,True,True
TC-T-1787323461802-077bee78,T-1787323461802-077bee78,open,1,True,True,True
